,dbn,score,year
757,02M158,0.90380764,2015-2016
758,02M158,0.8236473,2016-2017
759,02M158,0.78356713,2017-2018
760,02M158,0.75951904,2018-2019
761,02M158,0.8141283,2019-2020
762,02M158,0.86873746,2020-2021
763,02M158,0.9233467,2021-2022
764,02M158,0.97795594,2022-2023
765,02M158,0.93787575,2023-2024
766,02M167,0.4983,2006-2007
767,02M167,0.645,2007-2008
768,02M167,0.8777555,2014-2015
769,02M167,0.91783565,2015-2016
770,02M167,0.8116233,2016-2017
771,02M167,0.82965934,2017-2018
772,02M167,0.7975952,2018-2019
773,02M167,0.80611223,2019-2020
774,02M167,0.81462926,2020-2021
775,02M167,0.8231463,2021-2022
776,02M167,0.8316633,2022-2023
777,02M167,0.8797595,2023-2024
778,02M177,,2014-2015
779,02M177,0.9458918,2015-2016
780,02M177,0.9158317,2016-2017
781,02M177,0.8416834,2017-2018
782,02M177,0.88977957,2018-2019
783,02M177,0.9043086,2019-2020
784,02M177,0.91883767,2020-2021
785,02M177,0.9333667,2021-2022
786,02M177,0.94789577,2022-2023
787,02M177,0.9458918,2023-2024
788,02M183,0.875,2008-2009
789,02M183,0.491,2009-2010
790,02M183,0.435,2010-2011
791,02M183,0.602,2011-2012
792,02M183,0.652,2012-2013
793,02M183,0.86773545,2014-2015
794,02M183,0.8056112,2015-2016
795,02M183,0.83366734,2016-2017
796,02M183,0.82965934,2017-2018
797,02M183,0.83767533,2018-2019
798,02M183,0.8782565,2019-2020
799,02M183,0.91883767,2020-2021
800,02M183,0.95941883,2021-2022
801,02M183,1.0,2022-2023
802,02M183,0.9258517,2023-2024
803,02M198,0.625,2008-2009
804,02M198,0.428,2009-2010
805,02M198,0.267,2010-2011
