,community_board,year,rent
516,Brooklyn Community Board 13,2006,872.8032
517,Brooklyn Community Board 7,2019,1503.7373
518,Queens Community Board 10,2017,1543.5933
519,Queens Community Board 10,2014,1380.4727
520,Queens Community Board 4,2012,1373.6348
521,Manhattan Community Board 2,2009,2425.3157
522,Brooklyn Community Board 9,2007,1058.7515
523,Bronx Community Board 8,2017,1397.7247
524,Queens Community Board 12,2008,1149.2179
525,Queens Community Board 7,2018,1545.6837
526,Queens Community Board 3,2011,1331.0206
527,Queens Community Board 9,2007,1329.2355
528,Brooklyn Community Board 14,2018,1354.4761
529,Staten Island Community Board 2,2017,1353.0934
530,Queens Community Board 3,2022,1372.3536
531,Queens Community Board 5,2022,1426.0898
532,Queens Community Board 10,2022,1504.2039
533,Manhattan Community Board 12,2022,1220.2583
534,Manhattan Community Board 9,2022,1308.8838
535,Manhattan Community Board 8,2022,2155.5105
536,Brooklyn Community Board 3,2023,990.2547
537,Brooklyn Community Board 4,2023,1026.4153
538,Bronx Community Board 4,2023,921.0791
539,Queens Community Board 7,2023,1502.8423
540,Brooklyn Community Board 6,2023,1833.9489
541,Staten Island Community Board 1,2023,1158.2598
542,Bronx Community Board 9,2023,1158.4385
543,Manhattan Community Board 7,2023,1852.7896
544,Queens Community Board 9,2023,1466.9263
545,Manhattan Community Board 5,2022,2156.5515
546,Queens Community Board 14,2024,1153.6174
547,Brooklyn Community Board 3,2020,1014.10333
548,Queens Community Board 7,2020,1460.0009
549,Queens Community Board 3,2024,1413.6865
550,Brooklyn Community Board 13,2020,976.0041
551,Manhattan Community Board 7,2024,1796.0564
552,Manhattan Community Board 12,2024,1162.7075
553,Brooklyn Community Board 17,2020,1163.2249
554,Manhattan Community Board 5,2024,2285.823
555,Bronx Community Board 11,2024,1179.9718
556,Queens Community Board 2,2020,1523.3605
557,Brooklyn Community Board 11,2020,1276.9243
558,Brooklyn Community Board 2,2021,2369.0
559,Manhattan Community Board 9,2021,1367.0
560,Brooklyn Community Board 1,2019,2011.2881
561,Queens Community Board 11,2019,1885.1885
562,Queens Community Board 9,2019,1604.617
